('WORD', 'TAG', 'PREDICTED TAG')
('^', 'START', 'START')
('Khupha', 'V', 'V')
('ifom', 'N', 'N')
('yesicelo', 'N07', 'N07')
('kwi-website', 'P', 'P')
('okanye', 'ADV', 'ADV')
('yifumane', 'V', 'V')
('kwi-ofisi', 'V', 'V')
('ye-SARS', 'DEM', 'V')
('$', 'END', 'END')
0.9
('^', 'START', 'START')
('Le', 'DEM01', 'DEM01')
('fom', 'N', 'N')
('yesicelo', 'N07', 'N07')
('kufuneka', 'V', 'V')
('igcwaliswe', 'V', 'V')
('ngumenzi-sicelo', 'P', 'P')
('hayi', 'IDEOPH', 'V')
('umntu', 'N01', 'N01')
('wesithathu', 'N07', 'V')
('kungenjalo', 'N09', 'N09')
('isicelo', 'N07', 'N07')
('asiyi', 'V', 'V')
('kuqwalaselwa', 'V', 'V')
('$', 'END', 'END')
0.8666666666666667
('^', 'START', 'START')
('Nceda', 'V', 'V')
('ubhekise', 'V', 'V')
('kwisikhokelo', 'P', 'V')
('sesicelo', 'N07', 'V')
('ukuze', 'CONJ', 'CONJ')
('sikuncede', 'V', 'V')
('ngenkqubo', 'N09', 'N09')
('yelayisensi', 'V', 'V')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('Kwicandelo', 'N05', 'N05')
('elithi', 'V', 'V')
('Client', 'POS', 'V')
('Types', 'COP', 'V')
('Iintlobo', 'N10', 'N10')
('zeeKlayenti', 'COP', 'V')
('$', 'END', 'END')
0.625
('^', 'START', 'START')
('khangela', 'V', 'V')
('ibhokisi', 'N09', 'N09')
('yokuhlola', 'V', 'V')
('yoMnikazi-fektri', 'N', 'V')
('we-AGOA', 'V', 'V')
('phantsi', 'ADV', 'ADV')
('kobhaliso', 'N02', 'N02')
('$', 'END', 'END')
0.8888888888888888
('^', 'START', 'START')
('Kwicandelo', 'N05', 'N05')
('elithi', 'V', 'V')
('Manufacturer', 'N', 'V')
('for', 'P', 'V')
('AGOA', 'POS', 'V')
('Particulars', 'N', 'N')
('IiNkcukacha', 'N10', 'V')
('zoMnikazi-fektri', 'V', 'V')
('eyenza', 'V', 'V')
('izinto', 'N10', 'N10')
('ezithile', 'V', 'V')
('phantsi', 'ADV', 'ADV')
('kwe-AGOA', 'V', 'V')
('chaza', 'N', 'N')
('$', 'END', 'END')
0.75
('^', 'START', 'START')
('igama', 'N05', 'N05')
('lokurhweba', 'V', 'V')
('leshishini', 'N05', 'N05')
('lakho', 'POS05', 'POS05')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('indawo', 'N09', 'N09')
('elimi', 'V', 'V')
('kuyo', 'PRON04', 'V')
('elishishini', 'N05', 'V')
('umzekelo', 'N03', 'N03')
('Plot', 'POS', 'V')
('10', 'REL', 'V')
('$', 'END', 'END')
0.5555555555555556
('^', 'START', 'START')
('igama', 'N05', 'N05')
('lesitalato', 'POS', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nenombolo', 'N09', 'N09')
('yeshishini', 'N05', 'N05')
('$', 'END', 'END')
0.8571428571428571
('^', 'START', 'START')
('ummandla', 'N', 'N')
('wedolophu', 'N09', 'N09')
('elimi', 'V', 'V')
('kuwo', 'PRON03', 'PRON03')
('ishishini', 'N05', 'N05')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('isixeko', 'N07', 'V')
('okanye', 'ADV', 'ADV')
('idolophu', 'N09', 'N09')
('elimi', 'V', 'V')
('kuyo', 'PRON04', 'PRON04')
('ishishini', 'N05', 'N05')
('kunye', 'ADJ05', 'ADJ05')
('$', 'END', 'END')
0.8888888888888888
('^', 'START', 'START')
('nekhowudi', 'N09', 'N09')
('yesitalato', 'POS', 'POS')
('sommandla', 'P', 'P')
('wedolophu', 'N09', 'N09')
('elimi', 'V', 'V')
('kuwo', 'PRON03', 'PRON03')
('ishishini', 'N05', 'N05')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Icandelo', 'N05', 'N05')
('elithi', 'V', 'V')
('Authority', 'N', 'N')
('to', 'N', 'N')
('Apply', 'V', 'V')
('Igunya', 'N05', 'N05')
('lokwenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('maligcwaliswe', 'V', 'V')
('ngumnikazi-shishini', 'P', 'V')
('ozimele', 'V', 'V')
('yedwa', 'N09', 'N09')
('umqondisi', 'N01', 'N01')
('oogxa', 'REL', 'REL')
('bentsebenziswano', 'N', 'N')
('ilungu', 'N05', 'N05')
('ilungu', 'N05', 'N05')
('eliphathiswe', 'V', 'V')
('iqumrhu', 'N', 'N')
('ngentembeko', 'N', 'N')
('okanye', 'ADV', 'ADV')
('umntu', 'N01', 'N01')
('ophethe', 'V', 'V')
('ishishini', 'N05', 'N05')
('xa', 'N05', 'N05')
('usenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('sokubhalisela', 'V', 'N')
('ukubangumnikazi-fektri', 'P', 'V')
('ochongekileyo', 'V', 'V')
('malunga', 'N06', 'N06')
('nemirhumo', 'N', 'V')
('yempahla', 'N09', 'N09')
('engena', 'V', 'V')
('elizweni', 'N05', 'N05')
('kunye', 'ADJ05', 'ADJ05')
('nerhafu', 'N09', 'N09')
('yempahla', 'N09', 'N09')
('nezinto', 'N10', 'N10')
('kunye', 'ADJ05', 'ADJ05')
('neelayisensi', 'N10', 'V')
('ezithile', 'V', 'V')
('phantsi', 'ADV', 'ADV')
('kwe-AGOA', 'V', 'V')
('$', 'END', 'END')
0.8913043478260869
('^', 'START', 'START')
('Igama', 'N05', 'N05')
